ID,Calories_Burned
TEST_0000,3797.4824
TEST_0001,3608.7747
TEST_0002,2573.8079
TEST_0003,4195.1846
TEST_0004,5128.9653
TEST_0005,4199.6616
TEST_0006,3304.2422
TEST_0007,2027.1382
TEST_0008,3071.5273
TEST_0009,2909.0442
TEST_0010,4017.3384
TEST_0011,2350.9792
TEST_0012,1169.0277
TEST_0013,3179.3982
TEST_0014,4254.1704
TEST_0015,1108.3892
TEST_0016,3091.261
TEST_0017,4428.943
TEST_0018,4452.1772
TEST_0019,954.319
TEST_0020,3452.1663
TEST_0021,3987.7834
TEST_0022,2201.1863
TEST_0023,3504.1018
TEST_0024,1614.6958
TEST_0025,4174.249
TEST_0026,3111.8381
TEST_0027,4775.64
TEST_0028,3311.3018
TEST_0029,2969.1938
TEST_0030,1143.3723
TEST_0031,5136.596
TEST_0032,3033.1143
TEST_0033,2166.8794
TEST_0034,4009.0986
TEST_0035,3010.822
TEST_0036,1566.6605
TEST_0037,3784.4802
TEST_0038,820.611
TEST_0039,3991.5337
TEST_0040,3850.8281
TEST_0041,4444.6006
TEST_0042,3567.7246
TEST_0043,3016.375
TEST_0044,2235.5674
TEST_0045,2180.5752
TEST_0046,3067.6016
TEST_0047,5435.3003
TEST_0048,3346.502
TEST_0049,3786.5784
TEST_0050,1130.0287
TEST_0051,3071.7424
TEST_0052,3814.0823
TEST_0053,3510.0874
TEST_0054,3208.5273
TEST_0055,3747.7412
TEST_0056,4466.697
TEST_0057,1455.0765
TEST_0058,2001.5016
TEST_0059,3298.2073
TEST_0060,2019.4958
TEST_0061,2965.6064
TEST_0062,3464.6274
TEST_0063,1877.5356
TEST_0064,2374.059
TEST_0065,3778.9136
TEST_0066,4526.835
TEST_0067,4410.0283
TEST_0068,2609.0327
TEST_0069,2511.8901
TEST_0070,3547.5708
TEST_0071,1859.338
TEST_0072,969.84766
TEST_0073,4462.9834
TEST_0074,2542.07
TEST_0075,3483.3765
TEST_0076,2240.645
TEST_0077,3695.6287
TEST_0078,2241.783
TEST_0079,4089.265
TEST_0080,3559.6409
TEST_0081,3327.9175
TEST_0082,3509.7148
TEST_0083,3754.391
TEST_0084,2751.6995
TEST_0085,5398.955
TEST_0086,4432.0293
TEST_0087,1505.5741
TEST_0088,4048.2483
TEST_0089,2912.1465
TEST_0090,2121.9788
TEST_0091,2117.1165
TEST_0092,1862.1141
TEST_0093,4499.562
TEST_0094,809.9972
TEST_0095,1091.175
TEST_0096,4127.27
TEST_0097,3148.909
TEST_0098,4086.224
TEST_0099,4045.6309
TEST_0100,1673.1401
TEST_0101,3252.1091
TEST_0102,4493.049
TEST_0103,3366.9211
TEST_0104,2953.5876
TEST_0105,4033.9897
TEST_0106,2231.8137
TEST_0107,1616.9585
TEST_0108,4089.1277
TEST_0109,2171.8213
TEST_0110,3111.723
TEST_0111,4073.436
TEST_0112,2407.9885
TEST_0113,3803.4521
TEST_0114,2264.9448
TEST_0115,2770.7493
TEST_0116,2957.6323
TEST_0117,2190.1045
TEST_0118,1019.2738
TEST_0119,454.45386
TEST_0120,3839.659
TEST_0121,2737.2075
TEST_0122,1736.9152
TEST_0123,1459.6082
TEST_0124,1548.488
TEST_0125,3279.956
TEST_0126,2871.353
TEST_0127,2908.734
TEST_0128,3993.4854
TEST_0129,2744.8857
TEST_0130,3008.713
TEST_0131,3392.9033
TEST_0132,2382.3286
TEST_0133,4444.3867
TEST_0134,2988.0093
TEST_0135,2761.1948
TEST_0136,3260.2383
TEST_0137,3009.1235
TEST_0138,3832.893
TEST_0139,1577.2615
TEST_0140,3555.9517
TEST_0141,889.9196
TEST_0142,3498.8037
TEST_0143,1909.8933
TEST_0144,1092.1385
TEST_0145,2537.2703
TEST_0146,4174.6655
TEST_0147,2968.1978
TEST_0148,3094.8425
TEST_0149,3739.7808
