ID,Calories_Burned
TEST_0000,173.1541
TEST_0001,192.93831
TEST_0002,52.58651
TEST_0003,160.17377
TEST_0004,225.30083
TEST_0005,176.77701
TEST_0006,98.179146
TEST_0007,43.86836
TEST_0008,80.56019
TEST_0009,59.60793
TEST_0010,123.34414
TEST_0011,53.747467
TEST_0012,14.127671
TEST_0013,175.31458
TEST_0014,230.55836
TEST_0015,14.404794
TEST_0016,99.96925
TEST_0017,130.0019
TEST_0018,158.16322
TEST_0019,6.3798876
TEST_0020,49.439137
TEST_0021,89.54927
TEST_0022,25.94867
TEST_0023,88.82423
TEST_0024,20.148592
TEST_0025,127.94635
TEST_0026,106.61163
TEST_0027,191.18721
TEST_0028,120.19665
TEST_0029,100.878845
TEST_0030,24.186985
TEST_0031,243.07486
TEST_0032,54.52606
TEST_0033,46.59586
TEST_0034,132.3093
TEST_0035,113.91119
TEST_0036,38.182083
TEST_0037,130.12822
TEST_0038,10.747814
TEST_0039,130.64381
TEST_0040,198.56839
TEST_0041,168.05678
TEST_0042,144.85875
TEST_0043,59.85715
TEST_0044,67.79646
TEST_0045,52.977158
TEST_0046,78.52467
TEST_0047,197.90001
TEST_0048,140.56892
TEST_0049,126.762
TEST_0050,11.43541
TEST_0051,111.42521
TEST_0052,158.8489
TEST_0053,93.357925
TEST_0054,66.35789
TEST_0055,86.47822
TEST_0056,164.22652
TEST_0057,17.706503
TEST_0058,31.351032
TEST_0059,94.52971
TEST_0060,39.1993
TEST_0061,109.52819
TEST_0062,92.29792
TEST_0063,51.137726
TEST_0064,34.333675
TEST_0065,135.0271
TEST_0066,233.68285
TEST_0067,127.33306
TEST_0068,100.52576
TEST_0069,44.31856
TEST_0070,124.96228
TEST_0071,25.777945
TEST_0072,9.323039
TEST_0073,150.20644
TEST_0074,32.81743
TEST_0075,91.89107
TEST_0076,65.14576
TEST_0077,68.154305
TEST_0078,45.42478
TEST_0079,187.1525
TEST_0080,172.09544
TEST_0081,135.65378
TEST_0082,92.1587
TEST_0083,101.32916
TEST_0084,57.01307
TEST_0085,178.70152
TEST_0086,124.68264
TEST_0087,18.070442
TEST_0088,143.6153
TEST_0089,42.327576
TEST_0090,40.702766
TEST_0091,37.047825
TEST_0092,24.013084
TEST_0093,195.61298
TEST_0094,4.540213
TEST_0095,10.110565
TEST_0096,233.88002
TEST_0097,142.1638
TEST_0098,187.30428
TEST_0099,170.72972
TEST_0100,13.095502
TEST_0101,99.74935
TEST_0102,185.06265
TEST_0103,165.86513
TEST_0104,63.692116
TEST_0105,167.74918
TEST_0106,37.396656
TEST_0107,20.089605
TEST_0108,186.45554
TEST_0109,29.251942
TEST_0110,111.38196
TEST_0111,184.8902
TEST_0112,47.34261
TEST_0113,146.87349
TEST_0114,54.65466
TEST_0115,83.08559
TEST_0116,80.19752
TEST_0117,63.047935
TEST_0118,14.968869
TEST_0119,6.966562
TEST_0120,186.38142
TEST_0121,49.50156
TEST_0122,43.182373
TEST_0123,19.578619
TEST_0124,31.4775
TEST_0125,99.61218
TEST_0126,46.91348
TEST_0127,55.23716
TEST_0128,102.071
TEST_0129,78.55636
TEST_0130,60.051033
TEST_0131,193.11253
TEST_0132,69.632805
TEST_0133,133.48366
TEST_0134,107.01004
TEST_0135,70.68099
TEST_0136,71.07941
TEST_0137,65.48253
TEST_0138,179.21721
TEST_0139,22.487965
TEST_0140,123.1171
TEST_0141,16.295286
TEST_0142,110.95582
TEST_0143,41.949505
TEST_0144,11.379028
TEST_0145,32.921062
TEST_0146,163.66466
TEST_0147,83.25702
TEST_0148,120.01189
TEST_0149,87.66349
TEST_0150,41.807144
TEST_0151,81.08365
TEST_0152,71.679184
TEST_0153,19.70168
TEST_0154,94.54851
TEST_0155,54.93634
TEST_0156,131.62955
TEST_0157,40.53867
TEST_0158,199.76395
TEST_0159,41.074062
TEST_0160,126.63354
TEST_0161,102.282005
TEST_0162,114.729904
TEST_0163,140.01746
TEST_0164,57.044785
TEST_0165,32.186237
TEST_0166,42.435257
TEST_0167,134.10738
TEST_0168,204.46002
TEST_0169,109.88929
TEST_0170,72.38496
TEST_0171,76.05309
TEST_0172,5.5957026
TEST_0173,86.02697
TEST_0174,15.999576
TEST_0175,48.93954
TEST_0176,8.59883
TEST_0177,62.624023
TEST_0178,177.30125
TEST_0179,184.45479
TEST_0180,45.180122
TEST_0181,82.91707
TEST_0182,67.6471
TEST_0183,117.64697
TEST_0184,126.7469
TEST_0185,83.63646
TEST_0186,12.582939
TEST_0187,48.167633
TEST_0188,156.93338
TEST_0189,6.3298225
TEST_0190,41.6627
TEST_0191,7.062668
TEST_0192,158.61098
TEST_0193,41.956947
TEST_0194,175.65791
TEST_0195,102.97734
TEST_0196,6.2232056
TEST_0197,211.04086
TEST_0198,2.7959712
TEST_0199,8.81936
TEST_0200,9.892258
TEST_0201,131.3783
TEST_0202,21.734505
TEST_0203,40.32872
TEST_0204,98.645065
TEST_0205,91.44465
TEST_0206,146.82986
TEST_0207,83.08548
TEST_0208,14.521936
TEST_0209,66.15507
TEST_0210,60.165966
TEST_0211,197.63649
TEST_0212,160.88504
TEST_0213,16.230368
TEST_0214,50.276405
TEST_0215,62.37689
TEST_0216,86.58932
TEST_0217,139.2273
TEST_0218,40.797825
TEST_0219,96.60873
TEST_0220,170.84969
TEST_0221,66.46497
TEST_0222,138.8458
TEST_0223,187.67197
TEST_0224,78.415405
TEST_0225,31.488087
TEST_0226,65.8125
TEST_0227,134.12262
TEST_0228,58.377567
TEST_0229,6.3448358
TEST_0230,57.28931
TEST_0231,51.064087
TEST_0232,64.172386
TEST_0233,79.4786
TEST_0234,13.508752
TEST_0235,50.653248
TEST_0236,127.268814
TEST_0237,18.437057
TEST_0238,148.13095
TEST_0239,20.545368
TEST_0240,16.360138
TEST_0241,192.65865
TEST_0242,90.44298
TEST_0243,10.563475
TEST_0244,43.62725
TEST_0245,70.42852
TEST_0246,43.99067
TEST_0247,121.53393
TEST_0248,43.566887
TEST_0249,18.719234
TEST_0250,53.289547
TEST_0251,90.96572
TEST_0252,37.610752
TEST_0253,108.01494
TEST_0254,111.22105
TEST_0255,32.231396
TEST_0256,8.157487
TEST_0257,102.236404
TEST_0258,134.94307
TEST_0259,19.223045
TEST_0260,21.570171
TEST_0261,69.93826
TEST_0262,53.357597
TEST_0263,17.722933
TEST_0264,26.16908
TEST_0265,2.8087938
TEST_0266,55.512115
TEST_0267,20.212885
TEST_0268,63.841274
TEST_0269,184.83894
TEST_0270,98.317856
TEST_0271,131.45352
TEST_0272,17.490192
TEST_0273,147.33247
TEST_0274,21.87155
TEST_0275,56.24142
TEST_0276,82.66203
TEST_0277,153.28033
TEST_0278,7.387328
TEST_0279,62.677227
TEST_0280,179.16812
TEST_0281,104.9325
TEST_0282,34.54416
TEST_0283,15.753046
TEST_0284,180.53656
TEST_0285,44.840706
TEST_0286,41.091717
TEST_0287,53.079453
TEST_0288,102.990105
TEST_0289,50.907173
TEST_0290,174.87401
TEST_0291,39.342686
TEST_0292,73.7125
TEST_0293,46.985058
TEST_0294,136.4342
TEST_0295,36.193382
TEST_0296,77.87644
TEST_0297,127.7959
TEST_0298,136.0463
TEST_0299,189.97719
TEST_0300,223.12492
TEST_0301,1.5557823
TEST_0302,227.99673
TEST_0303,109.0933
TEST_0304,64.38003
TEST_0305,139.81523
TEST_0306,55.9761
TEST_0307,213.81697
TEST_0308,183.89717
TEST_0309,144.01585
TEST_0310,87.92356
TEST_0311,36.149933
TEST_0312,165.24385
TEST_0313,81.388954
TEST_0314,188.93155
TEST_0315,185.14531
TEST_0316,242.78674
TEST_0317,163.08493
TEST_0318,58.5034
TEST_0319,241.58737
TEST_0320,217.83417
TEST_0321,84.14349
TEST_0322,172.36798
TEST_0323,78.04664
TEST_0324,44.24961
TEST_0325,10.900484
TEST_0326,88.50026
TEST_0327,106.278404
TEST_0328,85.61049
TEST_0329,70.82577
TEST_0330,8.084763
TEST_0331,131.87148
TEST_0332,9.856624
TEST_0333,92.405495
TEST_0334,39.805634
TEST_0335,98.555916
TEST_0336,112.504875
TEST_0337,155.61992
TEST_0338,94.449066
TEST_0339,124.687416
TEST_0340,26.44137
TEST_0341,218.42743
TEST_0342,81.93601
TEST_0343,141.18439
TEST_0344,91.28917
TEST_0345,11.918051
TEST_0346,27.135702
TEST_0347,75.79305
TEST_0348,26.22489
TEST_0349,170.12247
TEST_0350,187.89064
TEST_0351,63.38678
TEST_0352,130.05846
TEST_0353,58.016304
TEST_0354,65.950294
TEST_0355,1.832239
TEST_0356,162.19247
TEST_0357,184.79454
TEST_0358,113.89155
TEST_0359,131.18205
TEST_0360,75.84446
TEST_0361,130.34877
TEST_0362,135.13611
TEST_0363,23.824884
TEST_0364,166.04384
TEST_0365,31.790977
TEST_0366,116.57651
TEST_0367,26.52135
TEST_0368,208.66016
TEST_0369,131.8857
TEST_0370,22.812569
TEST_0371,113.0533
TEST_0372,90.41846
TEST_0373,131.0573
TEST_0374,20.556887
TEST_0375,192.97726
TEST_0376,205.36537
TEST_0377,202.79027
TEST_0378,50.188072
TEST_0379,79.20292
TEST_0380,154.56339
TEST_0381,25.536818
TEST_0382,29.510983
TEST_0383,207.47565
TEST_0384,6.13803
TEST_0385,3.8621423
TEST_0386,175.39503
TEST_0387,94.97133
TEST_0388,120.06154
TEST_0389,174.52759
TEST_0390,182.44124
TEST_0391,19.163845
TEST_0392,112.47541
TEST_0393,123.65071
TEST_0394,32.98568
TEST_0395,171.75313
