ID,Calories_Burned
TEST_0000,173.18
TEST_0001,193.75
TEST_0002,52.27
TEST_0003,158.72
TEST_0004,221.76
TEST_0005,179.81
TEST_0006,97.2
TEST_0007,46.04
TEST_0008,80.3
TEST_0009,58.71
TEST_0010,128.13
TEST_0011,53.89
TEST_0012,12.78
TEST_0013,156.93
TEST_0014,214.57
TEST_0015,12.98
TEST_0016,100.62
TEST_0017,132.16
TEST_0018,159.44
TEST_0019,7.0
TEST_0020,50.89
TEST_0021,92.59
TEST_0022,26.45
TEST_0023,86.66
TEST_0024,20.36
TEST_0025,134.1
TEST_0026,102.84
TEST_0027,192.47
TEST_0028,124.57
TEST_0029,100.36
TEST_0030,24.63
TEST_0031,241.4
TEST_0032,57.0
TEST_0033,47.86
TEST_0034,125.45
TEST_0035,119.33
TEST_0036,35.92
TEST_0037,133.78
TEST_0038,11.19
TEST_0039,128.48
TEST_0040,203.56
TEST_0041,165.48
TEST_0042,146.17
TEST_0043,60.5
TEST_0044,64.82
TEST_0045,51.36
TEST_0046,76.8
TEST_0047,198.5
TEST_0048,138.75
TEST_0049,125.09
TEST_0050,10.79
TEST_0051,112.17
TEST_0052,158.74
TEST_0053,98.36
TEST_0054,68.42
TEST_0055,91.98
TEST_0056,167.58
TEST_0057,17.97
TEST_0058,31.64
TEST_0059,96.01
TEST_0060,39.63
TEST_0061,106.52
TEST_0062,89.43
TEST_0063,49.04
TEST_0064,33.98
TEST_0065,135.22
TEST_0066,231.52
TEST_0067,126.7
TEST_0068,98.82
TEST_0069,42.89
TEST_0070,125.94
TEST_0071,29.44
TEST_0072,9.05
TEST_0073,151.37
TEST_0074,33.0
TEST_0075,90.24
TEST_0076,64.11
TEST_0077,70.53
TEST_0078,44.24
TEST_0079,186.01
TEST_0080,171.29
TEST_0081,139.39
TEST_0082,94.7
TEST_0083,105.74
TEST_0084,57.53
TEST_0085,179.9
TEST_0086,128.7
TEST_0087,17.36
TEST_0088,146.31
TEST_0089,41.18
TEST_0090,40.43
TEST_0091,37.2
TEST_0092,25.32
TEST_0093,193.03
TEST_0094,5.77
TEST_0095,10.21
TEST_0096,240.74
TEST_0097,136.19
TEST_0098,190.07
TEST_0099,171.89
TEST_0100,13.36
TEST_0101,100.5
TEST_0102,189.22
TEST_0103,165.81
TEST_0104,61.83
TEST_0105,162.9
TEST_0106,36.42
TEST_0107,19.9
TEST_0108,188.22
TEST_0109,28.64
TEST_0110,108.82
TEST_0111,183.16
TEST_0112,46.55
TEST_0113,146.23
TEST_0114,56.65
TEST_0115,83.66
TEST_0116,78.48
TEST_0117,65.08
TEST_0118,14.12
TEST_0119,6.69
TEST_0120,181.01
TEST_0121,49.6
TEST_0122,42.12
TEST_0123,18.44
TEST_0124,32.34
TEST_0125,101.24
TEST_0126,46.72
TEST_0127,55.65
TEST_0128,105.35
TEST_0129,77.71
TEST_0130,59.15
TEST_0131,195.72
TEST_0132,67.95
TEST_0133,135.54
TEST_0134,109.74
TEST_0135,74.68
TEST_0136,73.54
TEST_0137,64.12
TEST_0138,167.82
TEST_0139,23.13
TEST_0140,115.53
TEST_0141,16.04
TEST_0142,111.49
TEST_0143,38.65
TEST_0144,11.36
TEST_0145,32.98
TEST_0146,161.0
TEST_0147,84.49
TEST_0148,121.3
TEST_0149,86.66
TEST_0150,42.31
TEST_0151,80.47
TEST_0152,69.65
TEST_0153,19.64
TEST_0154,98.06
TEST_0155,57.49
TEST_0156,132.82
TEST_0157,38.38
TEST_0158,197.8
TEST_0159,41.05
TEST_0160,132.1
TEST_0161,101.35
TEST_0162,117.5
TEST_0163,143.42
TEST_0164,58.08
TEST_0165,30.52
TEST_0166,43.02
TEST_0167,126.5
TEST_0168,205.41
TEST_0169,108.56
TEST_0170,74.14
TEST_0171,79.32
TEST_0172,5.74
TEST_0173,77.96
TEST_0174,15.53
TEST_0175,48.67
TEST_0176,9.68
TEST_0177,61.26
TEST_0178,176.04
TEST_0179,190.6
TEST_0180,45.01
TEST_0181,82.26
TEST_0182,68.57
TEST_0183,116.63
TEST_0184,128.75
TEST_0185,85.57
TEST_0186,12.05
TEST_0187,44.55
TEST_0188,155.86
TEST_0189,6.12
TEST_0190,41.11
TEST_0191,6.69
TEST_0192,160.66
TEST_0193,42.87
TEST_0194,176.62
TEST_0195,104.01
TEST_0196,6.69
TEST_0197,207.48
TEST_0198,4.19
TEST_0199,9.59
TEST_0200,8.07
TEST_0201,132.06
TEST_0202,25.34
TEST_0203,43.04
TEST_0204,96.47
TEST_0205,89.85
TEST_0206,147.59
TEST_0207,80.75
TEST_0208,15.34
TEST_0209,66.34
TEST_0210,59.88
TEST_0211,196.95
TEST_0212,170.82
TEST_0213,17.16
TEST_0214,48.4
TEST_0215,57.83
TEST_0216,86.4
TEST_0217,145.93
TEST_0218,40.04
TEST_0219,93.43
TEST_0220,158.21
TEST_0221,67.55
TEST_0222,136.1
TEST_0223,186.7
TEST_0224,80.31
TEST_0225,32.22
TEST_0226,67.11
TEST_0227,141.08
TEST_0228,57.74
TEST_0229,6.24
TEST_0230,57.88
TEST_0231,50.61
TEST_0232,63.66
TEST_0233,74.47
TEST_0234,12.13
TEST_0235,48.9
TEST_0236,126.21
TEST_0237,20.15
TEST_0238,148.01
TEST_0239,20.23
TEST_0240,17.34
TEST_0241,191.93
TEST_0242,91.33
TEST_0243,10.07
TEST_0244,42.28
TEST_0245,68.47
TEST_0246,46.87
TEST_0247,107.53
TEST_0248,43.39
TEST_0249,19.75
TEST_0250,54.02
TEST_0251,93.51
TEST_0252,38.59
TEST_0253,108.54
TEST_0254,114.11
TEST_0255,34.52
TEST_0256,9.21
TEST_0257,106.45
TEST_0258,134.15
TEST_0259,19.2
TEST_0260,21.0
TEST_0261,70.97
TEST_0262,52.27
TEST_0263,18.24
TEST_0264,26.05
TEST_0265,2.65
TEST_0266,56.78
TEST_0267,19.72
TEST_0268,63.57
TEST_0269,185.78
TEST_0270,98.22
TEST_0271,136.97
TEST_0272,18.28
TEST_0273,149.47
TEST_0274,21.86
TEST_0275,56.91
TEST_0276,82.05
TEST_0277,148.55
TEST_0278,8.67
TEST_0279,62.49
TEST_0280,182.76
TEST_0281,104.92
TEST_0282,31.89
TEST_0283,15.74
TEST_0284,177.98
TEST_0285,45.36
TEST_0286,39.56
TEST_0287,53.1
TEST_0288,98.06
TEST_0289,48.78
TEST_0290,170.18
TEST_0291,38.68
TEST_0292,73.43
TEST_0293,46.13
TEST_0294,124.28
TEST_0295,36.03
TEST_0296,76.68
TEST_0297,131.57
TEST_0298,131.34
TEST_0299,187.52
TEST_0300,221.68
TEST_0301,3.79
TEST_0302,228.52
TEST_0303,105.66
TEST_0304,66.4
TEST_0305,141.37
TEST_0306,56.96
TEST_0307,214.18
TEST_0308,184.56
TEST_0309,137.23
TEST_0310,83.57
TEST_0311,36.81
TEST_0312,169.58
TEST_0313,77.29
TEST_0314,182.56
TEST_0315,186.27
TEST_0316,240.97
TEST_0317,157.64
TEST_0318,57.7
TEST_0319,235.41
TEST_0320,209.65
TEST_0321,80.94
TEST_0322,170.69
TEST_0323,78.47
TEST_0324,45.68
TEST_0325,12.44
TEST_0326,87.49
TEST_0327,105.39
TEST_0328,84.72
