ID,Calories_Burned
TEST_0000,173.008
TEST_0001,189.78717
TEST_0002,53.15493
TEST_0003,161.03885
TEST_0004,225.25761
TEST_0005,178.74924
TEST_0006,98.45337
TEST_0007,43.986137
TEST_0008,79.62102
TEST_0009,58.934116
TEST_0010,122.6996
TEST_0011,54.46299
TEST_0012,14.79133
TEST_0013,176.73311
TEST_0014,228.68529
TEST_0015,13.659472
TEST_0016,97.69908
TEST_0017,130.35371
TEST_0018,158.28654
TEST_0019,6.7726345
TEST_0020,50.048336
TEST_0021,89.627335
TEST_0022,25.341553
TEST_0023,86.12584
TEST_0024,19.723097
TEST_0025,127.18085
TEST_0026,105.37153
TEST_0027,189.22772
TEST_0028,120.842705
TEST_0029,99.88778
TEST_0030,24.844833
TEST_0031,241.76009
TEST_0032,54.800533
TEST_0033,46.589466
TEST_0034,132.13832
TEST_0035,112.669464
TEST_0036,38.07224
TEST_0037,129.16121
TEST_0038,11.13221
TEST_0039,129.55063
TEST_0040,201.54642
TEST_0041,167.75095
TEST_0042,145.68742
TEST_0043,60.008545
TEST_0044,67.40182
TEST_0045,52.57813
TEST_0046,77.51106
TEST_0047,197.62434
TEST_0048,138.97931
TEST_0049,125.460205
TEST_0050,11.923997
TEST_0051,112.40908
TEST_0052,158.02672
TEST_0053,92.46095
TEST_0054,68.398994
TEST_0055,85.6787
TEST_0056,159.22485
TEST_0057,18.076084
TEST_0058,30.590868
TEST_0059,96.35515
TEST_0060,39.18194
TEST_0061,108.16287
TEST_0062,89.97508
TEST_0063,50.31478
TEST_0064,34.103107
TEST_0065,135.24844
TEST_0066,229.87152
TEST_0067,126.18254
TEST_0068,101.00565
TEST_0069,44.926018
TEST_0070,125.47397
TEST_0071,26.142218
TEST_0072,9.536081
TEST_0073,151.73834
TEST_0074,31.658493
TEST_0075,90.97015
TEST_0076,63.720787
TEST_0077,66.2846
TEST_0078,44.45827
TEST_0079,186.24988
TEST_0080,172.21652
TEST_0081,136.56367
TEST_0082,90.583496
TEST_0083,101.24664
TEST_0084,56.13385
TEST_0085,178.8209
TEST_0086,125.469055
TEST_0087,17.91298
TEST_0088,144.60054
TEST_0089,41.993217
TEST_0090,41.27613
TEST_0091,36.817654
TEST_0092,23.969204
TEST_0093,194.57388
TEST_0094,4.6204967
TEST_0095,10.148588
TEST_0096,236.8403
TEST_0097,137.65656
TEST_0098,185.21503
TEST_0099,171.40378
TEST_0100,13.194502
TEST_0101,99.31658
TEST_0102,188.32587
TEST_0103,165.2055
TEST_0104,64.50399
TEST_0105,166.92339
TEST_0106,36.756706
TEST_0107,20.813833
TEST_0108,187.93777
TEST_0109,29.912622
TEST_0110,110.93261
TEST_0111,184.92062
TEST_0112,47.196262
TEST_0113,146.60098
TEST_0114,55.354023
TEST_0115,80.875885
TEST_0116,79.73827
TEST_0117,63.35042
TEST_0118,14.635399
TEST_0119,6.8744917
TEST_0120,185.55217
TEST_0121,47.90257
TEST_0122,43.111473
TEST_0123,19.764992
TEST_0124,32.333218
TEST_0125,99.92438
TEST_0126,47.049313
TEST_0127,55.059593
TEST_0128,102.71553
TEST_0129,78.26478
TEST_0130,59.861965
TEST_0131,194.46657
TEST_0132,69.28266
TEST_0133,134.64711
TEST_0134,104.46384
TEST_0135,71.978325
TEST_0136,72.35873
TEST_0137,64.74756
TEST_0138,176.77417
TEST_0139,22.558914
TEST_0140,122.65254
TEST_0141,16.235104
TEST_0142,111.8306
TEST_0143,42.209984
TEST_0144,11.239709
TEST_0145,32.816868
TEST_0146,165.68567
TEST_0147,82.48674
TEST_0148,118.7263
TEST_0149,86.3457
TEST_0150,41.99087
TEST_0151,82.10004
TEST_0152,70.059555
TEST_0153,19.814594
TEST_0154,93.49283
TEST_0155,55.334255
TEST_0156,128.92564
TEST_0157,39.720036
TEST_0158,198.06812
TEST_0159,40.472054
TEST_0160,128.4939
TEST_0161,100.516335
TEST_0162,114.92945
TEST_0163,140.18533
TEST_0164,56.39152
TEST_0165,32.916725
TEST_0166,42.27539
TEST_0167,131.39244
TEST_0168,203.95987
TEST_0169,112.141106
TEST_0170,74.2092
TEST_0171,76.17328
TEST_0172,5.592964
TEST_0173,84.766464
TEST_0174,15.62443
TEST_0175,47.74884
TEST_0176,5.1820374
TEST_0177,61.322357
TEST_0178,175.58057
TEST_0179,182.33688
TEST_0180,45.394253
TEST_0181,82.39912
TEST_0182,67.89943
TEST_0183,116.302704
TEST_0184,127.12241
TEST_0185,83.910614
TEST_0186,12.146041
TEST_0187,46.69616
TEST_0188,156.94891
TEST_0189,6.2332907
TEST_0190,41.228752
TEST_0191,6.977504
TEST_0192,157.02293
TEST_0193,41.92939
TEST_0194,174.49277
TEST_0195,103.488174
TEST_0196,6.4092607
TEST_0197,212.52844
TEST_0198,3.8622873
TEST_0199,9.047131
TEST_0200,8.725223
TEST_0201,130.58809
TEST_0202,22.470272
TEST_0203,40.573597
TEST_0204,98.477585
TEST_0205,90.722725
TEST_0206,147.87738
TEST_0207,83.30826
TEST_0208,14.602366
TEST_0209,65.93781
TEST_0210,61.048862
TEST_0211,195.42493
TEST_0212,164.3471
TEST_0213,16.590984
TEST_0214,50.54106
TEST_0215,61.54418
TEST_0216,87.54788
TEST_0217,139.06073
TEST_0218,40.5801
TEST_0219,97.42242
TEST_0220,176.16747
TEST_0221,66.1341
TEST_0222,137.92729
TEST_0223,190.36176
TEST_0224,79.36804
TEST_0225,30.832516
TEST_0226,65.843796
TEST_0227,135.37698
TEST_0228,58.157257
