ID,Calories_Burned
TEST_0000,173.01637
TEST_0001,190.01637
TEST_0002,52.950787
TEST_0003,161.011
TEST_0004,224.90692
TEST_0005,178.63316
TEST_0006,98.82568
TEST_0007,43.820305
TEST_0008,79.3822
TEST_0009,58.751186
TEST_0010,122.799286
TEST_0011,54.6421
TEST_0012,14.423157
TEST_0013,176.0476
TEST_0014,229.30713
TEST_0015,13.216874
TEST_0016,97.73729
TEST_0017,130.59224
TEST_0018,158.50616
TEST_0019,6.8064895
TEST_0020,50.092083
TEST_0021,89.333405
TEST_0022,25.190983
TEST_0023,85.85688
TEST_0024,19.319061
TEST_0025,126.20756
TEST_0026,105.96904
TEST_0027,189.5276
TEST_0028,120.99108
TEST_0029,99.44235
TEST_0030,24.85462
TEST_0031,241.61115
TEST_0032,54.933697
TEST_0033,46.422413
TEST_0034,131.77739
TEST_0035,112.50161
TEST_0036,37.969078
TEST_0037,129.28009
TEST_0038,10.792926
TEST_0039,129.65956
TEST_0040,201.36229
TEST_0041,167.75519
TEST_0042,145.55556
TEST_0043,59.925285
TEST_0044,67.43576
TEST_0045,52.53014
TEST_0046,77.574745
TEST_0047,197.43956
TEST_0048,139.17294
TEST_0049,125.30613
TEST_0050,11.807872
TEST_0051,112.54069
TEST_0052,158.0474
TEST_0053,92.27017
TEST_0054,68.71815
TEST_0055,84.87425
TEST_0056,158.59134
TEST_0057,17.64139
TEST_0058,30.400248
TEST_0059,96.13992
TEST_0060,39.11351
TEST_0061,108.02249
TEST_0062,90.03175
TEST_0063,50.429695
TEST_0064,33.72251
TEST_0065,135.15746
TEST_0066,229.84642
TEST_0067,126.18997
TEST_0068,101.19195
TEST_0069,44.73104
TEST_0070,125.48767
TEST_0071,25.783026
TEST_0072,9.503654
TEST_0073,151.78046
TEST_0074,31.610338
TEST_0075,90.94158
TEST_0076,64.10077
TEST_0077,66.2911
TEST_0078,44.163303
TEST_0079,186.293
TEST_0080,171.7757
TEST_0081,136.75288
TEST_0082,90.87315
TEST_0083,101.36441
TEST_0084,55.648186
TEST_0085,178.93378
TEST_0086,125.70975
TEST_0087,17.639694
TEST_0088,144.3753
TEST_0089,41.97682
TEST_0090,41.04483
TEST_0091,36.91177
TEST_0092,23.649153
TEST_0093,194.19446
TEST_0094,4.66544
TEST_0095,10.107605
TEST_0096,237.62701
TEST_0097,137.79129
TEST_0098,185.0268
TEST_0099,172.0382
TEST_0100,13.381386
TEST_0101,99.38536
TEST_0102,189.18842
TEST_0103,164.96951
TEST_0104,64.82423
TEST_0105,167.00688
TEST_0106,36.787846
TEST_0107,20.756073
TEST_0108,187.3959
TEST_0109,29.72565
TEST_0110,111.01676
TEST_0111,184.8807
TEST_0112,47.029385
TEST_0113,146.97334
TEST_0114,55.321945
TEST_0115,80.64162
TEST_0116,79.906555
TEST_0117,63.524113
TEST_0118,14.593492
TEST_0119,6.803157
TEST_0120,185.33118
TEST_0121,48.087082
TEST_0122,43.59452
TEST_0123,19.680193
TEST_0124,32.223133
TEST_0125,99.99953
TEST_0126,46.937653
TEST_0127,55.142624
TEST_0128,102.63635
TEST_0129,78.338715
TEST_0130,59.720585
TEST_0131,194.49199
TEST_0132,69.38432
TEST_0133,134.66487
TEST_0134,104.55066
TEST_0135,72.023155
TEST_0136,72.16266
TEST_0137,64.735176
TEST_0138,177.65695
TEST_0139,22.585957
TEST_0140,123.592804
TEST_0141,16.194181
TEST_0142,111.99813
TEST_0143,42.436405
TEST_0144,11.197003
TEST_0145,32.926376
TEST_0146,165.9897
TEST_0147,82.470276
TEST_0148,118.76492
TEST_0149,86.03997
TEST_0150,41.991657
TEST_0151,81.97808
TEST_0152,69.996284
TEST_0153,19.686594
TEST_0154,93.25509
TEST_0155,55.460773
TEST_0156,128.65675
TEST_0157,39.24485
TEST_0158,199.00383
TEST_0159,40.450687
TEST_0160,128.71193
TEST_0161,100.41266
TEST_0162,115.02672
TEST_0163,140.01141
TEST_0164,56.47371
TEST_0165,32.895245
TEST_0166,42.43854
TEST_0167,132.21043
TEST_0168,203.19913
TEST_0169,112.06613
TEST_0170,74.08392
TEST_0171,76.06348
TEST_0172,5.432122
TEST_0173,84.80967
TEST_0174,15.518853
TEST_0175,47.803177
TEST_0176,6.0058417
TEST_0177,61.323307
TEST_0178,175.93073
TEST_0179,182.43178
TEST_0180,45.32262
TEST_0181,82.12005
TEST_0182,68.16962
TEST_0183,116.43159
TEST_0184,127.33355
TEST_0185,83.889366
TEST_0186,12.06508
TEST_0187,46.488945
TEST_0188,156.81903
TEST_0189,6.2470717
TEST_0190,41.235424
TEST_0191,7.1045675
TEST_0192,156.66832
TEST_0193,42.018948
TEST_0194,174.56332
TEST_0195,103.41887
TEST_0196,5.9540696
TEST_0197,212.7387
TEST_0198,4.3423586
TEST_0199,8.931672
TEST_0200,8.542576
TEST_0201,130.18134
TEST_0202,22.289648
TEST_0203,40.350597
TEST_0204,98.45607
TEST_0205,90.727135
TEST_0206,148.15161
TEST_0207,83.34721
TEST_0208,14.181974
TEST_0209,66.07091
TEST_0210,60.95657
TEST_0211,196.09006
TEST_0212,164.3297
TEST_0213,16.214668
TEST_0214,50.055935
TEST_0215,61.333588
TEST_0216,87.878555
TEST_0217,139.50552
TEST_0218,40.487663
TEST_0219,97.747894
TEST_0220,176.45535
TEST_0221,66.25969
TEST_0222,138.36153
TEST_0223,190.67401
TEST_0224,79.65131
TEST_0225,30.275248
TEST_0226,66.20631
TEST_0227,135.70502
TEST_0228,58.056454
TEST_0229,6.229845
TEST_0230,57.05395
TEST_0231,49.457005
TEST_0232,63.463814
TEST_0233,78.93894
TEST_0234,13.301541
TEST_0235,49.580917
TEST_0236,128.79095
TEST_0237,19.17503
TEST_0238,149.28424
TEST_0239,19.69877
TEST_0240,17.14981
TEST_0241,193.28459
TEST_0242,88.93068
TEST_0243,11.496031
TEST_0244,42.568176
TEST_0245,70.25463
TEST_0246,44.792435
TEST_0247,115.35999
TEST_0248,43.139145
TEST_0249,18.399525
TEST_0250,52.990196
TEST_0251,91.86919
TEST_0252,35.22047
TEST_0253,107.941154
TEST_0254,112.63135
TEST_0255,31.043913
TEST_0256,8.2954035
TEST_0257,102.40897
TEST_0258,135.94179
TEST_0259,18.488474
TEST_0260,19.994932
TEST_0261,71.26012
TEST_0262,52.299877
TEST_0263,17.865105
TEST_0264,25.81817
TEST_0265,2.4756587
TEST_0266,57.085888
TEST_0267,19.7025
TEST_0268,64.05801
TEST_0269,185.76445
TEST_0270,99.28385
TEST_0271,134.05247
TEST_0272,17.580147
TEST_0273,146.6882
TEST_0274,21.570087
TEST_0275,56.818783
TEST_0276,81.95042
TEST_0277,150.54916
TEST_0278,7.173301
TEST_0279,62.448166
TEST_0280,181.13994
TEST_0281,105.31504
TEST_0282,33.860413
TEST_0283,15.756631
TEST_0284,181.03911
TEST_0285,45.245472
TEST_0286,40.211956
TEST_0287,52.808197
TEST_0288,104.54113
TEST_0289,51.57545
TEST_0290,177.09662
TEST_0291,38.76516
TEST_0292,73.12052
TEST_0293,43.842327
TEST_0294,139.024
TEST_0295,35.84196
TEST_0296,76.101685
TEST_0297,128.0631
TEST_0298,137.92079
TEST_0299,188.6783
TEST_0300,223.74121
TEST_0301,4.654006
TEST_0302,227.45134
TEST_0303,108.097275
TEST_0304,65.81857
TEST_0305,140.62454
TEST_0306,55.494328
TEST_0307,214.33362
TEST_0308,184.75488
TEST_0309,143.26604
TEST_0310,85.64235
TEST_0311,36.4592
