ID,Calories_Burned
TEST_0000,167.30197
TEST_0001,32.989143
TEST_0002,23.44268
TEST_0003,91.15971
TEST_0004,33.066944
TEST_0005,71.11264
TEST_0006,18.427225
TEST_0007,80.56698
TEST_0008,172.4245
TEST_0009,29.006004
TEST_0010,59.57939
TEST_0011,43.897224
TEST_0012,107.21526
TEST_0013,8.340047
TEST_0014,54.90298
TEST_0015,145.29309
TEST_0016,20.451859
TEST_0017,41.7588
TEST_0018,79.38081
TEST_0019,87.508484
TEST_0020,177.70915
TEST_0021,10.621099
TEST_0022,168.55066
TEST_0023,40.819134
TEST_0024,133.35213
TEST_0025,165.08397
TEST_0026,87.71409
TEST_0027,215.14577
TEST_0028,6.984345
TEST_0029,115.79799
TEST_0030,25.5381
TEST_0031,6.3745093
TEST_0032,42.48292
TEST_0033,53.897865
TEST_0034,30.450365
TEST_0035,53.343784
TEST_0036,93.350555
TEST_0037,77.50051
TEST_0038,216.4092
TEST_0039,9.2589
TEST_0040,96.3633
TEST_0041,119.8748
TEST_0042,113.99526
TEST_0043,107.27575
TEST_0044,113.86629
TEST_0045,61.10794
TEST_0046,67.21539
TEST_0047,162.23332
TEST_0048,92.56145
TEST_0049,79.63326
TEST_0050,37.47772
TEST_0051,48.11774
TEST_0052,54.011288
TEST_0053,6.820371
TEST_0054,179.97858
TEST_0055,69.032036
TEST_0056,79.692085
TEST_0057,26.549164
TEST_0058,114.843796
TEST_0059,39.826797
TEST_0060,158.1944
TEST_0061,5.9061055
TEST_0062,27.83501
TEST_0063,138.08229
TEST_0064,74.317955
TEST_0065,14.252386
TEST_0066,29.348066
TEST_0067,120.51572
TEST_0068,36.17342
TEST_0069,22.783268
TEST_0070,69.541016
TEST_0071,121.62176
TEST_0072,205.39787
TEST_0073,15.739082
TEST_0074,52.987293
TEST_0075,40.770996
TEST_0076,126.57067
TEST_0077,81.84822
TEST_0078,106.53195
TEST_0079,137.12874
TEST_0080,37.74589
TEST_0081,11.378769
TEST_0082,137.04816
TEST_0083,67.41101
TEST_0084,57.923786
TEST_0085,121.1076
TEST_0086,13.943355
TEST_0087,29.143656
TEST_0088,51.59488
TEST_0089,212.05975
TEST_0090,102.118355
TEST_0091,53.574936
TEST_0092,63.061146
TEST_0093,207.3907
TEST_0094,178.76752
TEST_0095,216.19
TEST_0096,132.7112
TEST_0097,195.74945
TEST_0098,110.529755
TEST_0099,65.75946
TEST_0100,131.5669
TEST_0101,186.79726
TEST_0102,37.233826
TEST_0103,21.465157
TEST_0104,7.887598
TEST_0105,107.08588
TEST_0106,155.17068
TEST_0107,112.73167
TEST_0108,39.01387
TEST_0109,44.76674
TEST_0110,99.63345
TEST_0111,88.57705
TEST_0112,19.012106
TEST_0113,29.068214
TEST_0114,38.438942
TEST_0115,99.61627
TEST_0116,126.562805
TEST_0117,167.63773
TEST_0118,76.889984
TEST_0119,12.794233
TEST_0120,192.7649
TEST_0121,206.6027
TEST_0122,111.47832
TEST_0123,105.72787
TEST_0124,108.90501
TEST_0125,159.73618
TEST_0126,69.5651
TEST_0127,165.74834
TEST_0128,21.56491
TEST_0129,122.21519
TEST_0130,24.041779
TEST_0131,156.84819
TEST_0132,15.128472
TEST_0133,139.94795
TEST_0134,143.69965
