ID,Calories_Burned
TEST_0000,172.80576
TEST_0001,190.2444
TEST_0002,53.015156
TEST_0003,161.0998
TEST_0004,223.83191
TEST_0005,178.62314
TEST_0006,97.218376
TEST_0007,43.742317
TEST_0008,79.29548
TEST_0009,59.338066
TEST_0010,125.26538
TEST_0011,54.43446
TEST_0012,13.803364
TEST_0013,175.34183
TEST_0014,231.20818
TEST_0015,13.97954
TEST_0016,98.754715
TEST_0017,132.43413
TEST_0018,157.55005
TEST_0019,6.3787785
TEST_0020,51.061756
TEST_0021,89.84885
TEST_0022,24.769781
TEST_0023,86.77056
TEST_0024,20.333342
TEST_0025,127.74187
TEST_0026,104.54091
TEST_0027,190.96918
TEST_0028,121.94972
TEST_0029,101.43673
TEST_0030,24.706108
TEST_0031,244.28412
TEST_0032,54.70193
TEST_0033,47.906013
TEST_0034,132.04416
TEST_0035,112.781265
TEST_0036,37.088264
TEST_0037,128.57927
TEST_0038,10.458205
TEST_0039,130.70924
TEST_0040,198.3292
TEST_0041,166.30066
TEST_0042,145.38437
TEST_0043,59.758175
TEST_0044,68.08171
TEST_0045,53.531754
TEST_0046,77.57181
TEST_0047,196.57072
TEST_0048,140.2711
TEST_0049,125.536934
TEST_0050,11.235102
TEST_0051,110.82061
TEST_0052,157.91435
TEST_0053,93.077286
TEST_0054,67.07821
TEST_0055,85.32833
TEST_0056,163.63123
TEST_0057,17.89007
TEST_0058,30.75069
TEST_0059,94.20394
TEST_0060,39.516293
TEST_0061,110.086334
TEST_0062,92.09217
TEST_0063,51.164955
TEST_0064,33.447193
TEST_0065,133.39548
TEST_0066,231.53906
TEST_0067,126.50144
TEST_0068,102.81098
TEST_0069,43.58982
TEST_0070,124.42839
TEST_0071,26.316227
TEST_0072,9.3556385
TEST_0073,151.53789
TEST_0074,32.50417
TEST_0075,91.38717
TEST_0076,64.70472
TEST_0077,67.372635
TEST_0078,44.705227
TEST_0079,188.39503
TEST_0080,170.40715
TEST_0081,137.44644
TEST_0082,90.95671
TEST_0083,102.69745
TEST_0084,56.511215
TEST_0085,179.45288
TEST_0086,125.25077
TEST_0087,17.321095
TEST_0088,144.65991
TEST_0089,42.198994
TEST_0090,40.96764
TEST_0091,36.921196
TEST_0092,24.461517
TEST_0093,192.37735
TEST_0094,4.8490047
TEST_0095,10.175222
TEST_0096,236.08939
TEST_0097,141.28596
TEST_0098,187.78426
TEST_0099,173.26758
TEST_0100,12.646305
TEST_0101,100.978806
TEST_0102,186.7618
TEST_0103,164.65952
TEST_0104,63.044582
TEST_0105,167.84854
TEST_0106,37.934925
TEST_0107,19.96884
TEST_0108,187.231
TEST_0109,30.028683
TEST_0110,110.366516
TEST_0111,185.48087
TEST_0112,47.221237
TEST_0113,145.86627
TEST_0114,54.720806
TEST_0115,81.70766
TEST_0116,79.757416
TEST_0117,64.22902
TEST_0118,14.343822
TEST_0119,6.8185635
TEST_0120,184.76016
TEST_0121,49.400925
TEST_0122,42.863052
TEST_0123,19.959627
TEST_0124,31.752316
TEST_0125,99.29638
TEST_0126,46.433044
TEST_0127,54.585667
TEST_0128,102.17725
TEST_0129,78.51455
TEST_0130,59.46346
TEST_0131,194.08559
TEST_0132,68.7925
TEST_0133,134.8076
TEST_0134,103.26968
TEST_0135,71.90788
TEST_0136,71.794464
TEST_0137,65.41998
TEST_0138,178.96568
TEST_0139,22.946238
TEST_0140,125.0737
TEST_0141,16.423885
TEST_0142,111.19829
TEST_0143,41.62507
TEST_0144,11.374658
TEST_0145,33.231045
TEST_0146,162.03387
TEST_0147,81.67215
TEST_0148,121.73578
TEST_0149,86.38569
TEST_0150,41.590134
TEST_0151,80.768105
TEST_0152,69.657684
TEST_0153,19.895763
TEST_0154,95.10815
TEST_0155,54.620285
TEST_0156,129.61453
TEST_0157,39.819935
TEST_0158,200.714
TEST_0159,39.894238
TEST_0160,127.014366
TEST_0161,102.29618
TEST_0162,115.3028
TEST_0163,138.69771
TEST_0164,57.070854
TEST_0165,31.802736
TEST_0166,41.547626
TEST_0167,134.7887
TEST_0168,200.94067
TEST_0169,111.98687
TEST_0170,73.14893
TEST_0171,76.28989
TEST_0172,5.504801
TEST_0173,83.80306
TEST_0174,15.374711
TEST_0175,48.569584
TEST_0176,8.815312
TEST_0177,61.234695
TEST_0178,176.5656
TEST_0179,183.72006
TEST_0180,45.847923
TEST_0181,83.693794
TEST_0182,68.674515
TEST_0183,117.13342
TEST_0184,127.18609
TEST_0185,83.18963
TEST_0186,11.579958
TEST_0187,46.66598
TEST_0188,155.76901
TEST_0189,6.3893547
TEST_0190,41.047405
TEST_0191,6.805234
TEST_0192,158.38434
TEST_0193,41.992805
TEST_0194,176.9252
TEST_0195,104.35527
TEST_0196,6.6303353
TEST_0197,211.56453
TEST_0198,3.6702342
TEST_0199,8.726102
TEST_0200,9.544751
TEST_0201,131.5856
TEST_0202,21.206675
TEST_0203,40.52241
TEST_0204,98.295494
TEST_0205,90.70421
TEST_0206,146.96565
TEST_0207,83.387794
TEST_0208,15.12925
TEST_0209,67.04852
TEST_0210,61.008244
TEST_0211,196.72098
TEST_0212,161.81601
TEST_0213,15.819183
TEST_0214,50.72389
TEST_0215,63.385597
TEST_0216,88.48092
TEST_0217,140.87854
TEST_0218,40.81127
TEST_0219,97.09529
TEST_0220,174.81624
TEST_0221,67.16069
TEST_0222,139.28784
TEST_0223,189.94026
TEST_0224,79.16924
TEST_0225,30.536034
TEST_0226,66.63097
TEST_0227,134.53532
TEST_0228,58.502537
TEST_0229,7.1535926
TEST_0230,57.827103
TEST_0231,49.999092
TEST_0232,63.9022
TEST_0233,79.577286
TEST_0234,13.403208
TEST_0235,50.058292
TEST_0236,129.43434
TEST_0237,18.380722
TEST_0238,146.92241
TEST_0239,20.367435
TEST_0240,17.246466
TEST_0241,192.35869
TEST_0242,88.117905
TEST_0243,10.803612
TEST_0244,42.97706
TEST_0245,71.246346
TEST_0246,44.161503
TEST_0247,121.29259
TEST_0248,43.852947
TEST_0249,18.024088
TEST_0250,54.098114
TEST_0251,90.49236
TEST_0252,35.168503
TEST_0253,107.288284
TEST_0254,112.85949
TEST_0255,31.19431
TEST_0256,8.380059
TEST_0257,101.37854
TEST_0258,134.87093
TEST_0259,19.051292
TEST_0260,21.516285
TEST_0261,70.56052
TEST_0262,53.023285
TEST_0263,17.654322
TEST_0264,25.864027
TEST_0265,1.913108
TEST_0266,57.352802
TEST_0267,20.065004
TEST_0268,63.337032
TEST_0269,185.77705
TEST_0270,98.43055
TEST_0271,133.0763
TEST_0272,17.829361
TEST_0273,146.89961
TEST_0274,21.470558
TEST_0275,55.672604
TEST_0276,82.63007
TEST_0277,150.83124
TEST_0278,7.5165725
TEST_0279,63.58241
TEST_0280,181.28056
TEST_0281,104.39824
TEST_0282,34.469814
TEST_0283,15.633153
TEST_0284,180.92458
TEST_0285,45.675922
TEST_0286,39.567997
TEST_0287,53.034527
TEST_0288,101.83891
TEST_0289,51.94102
TEST_0290,174.82007
TEST_0291,39.97822
TEST_0292,72.8732
TEST_0293,46.418343
TEST_0294,135.02588
TEST_0295,35.710285
TEST_0296,77.03806
TEST_0297,128.03656
TEST_0298,135.8329
TEST_0299,190.66467
TEST_0300,226.51091
TEST_0301,0.75931144
TEST_0302,228.47954
TEST_0303,109.24211
TEST_0304,65.212654
TEST_0305,141.14545
TEST_0306,55.7743
TEST_0307,215.62631
TEST_0308,184.96564
TEST_0309,143.48512
TEST_0310,86.30613
TEST_0311,35.60818
TEST_0312,165.53127
TEST_0313,81.392815
TEST_0314,188.45708
TEST_0315,185.37013
TEST_0316,246.42181
TEST_0317,161.80693
TEST_0318,57.14874
TEST_0319,244.43391
